"did","charge","battery_overload","overload","charging","battery_full_voltage","overdischarge_voltage","load_on","charge_current","battery_temperature","battery_full","over_discharge","pv_voltage","load_current","battery_voltage","load_short","date"
tidbase4,"101.18530684752655","0","0","0","14.847894736842106","10.850180921052631","1","0","0","0","0","0.1519736842105263","1.0124342105263155","12.5875","0","Thu Apr 02 2015 00:20:00 GMT-0400 (EDT)"
tidbase4,"100.87859875786998","0","0","0","14.848812499999998","10.84978125","1","0","0","0","0","0.15132812500000004","1.0161875","12.576593749999997","0","Thu Apr 02 2015 00:40:00 GMT-0400 (EDT)"
tidbase4,"100.57156222027052","0","0","0","14.851134868421052","10.848898026315789","1","0","-0.14473684210526316","0","0","0.15312499999999998","1.0031578947368422","12.570230263157894","0","Thu Apr 02 2015 01:00:00 GMT-0400 (EDT)"
tidbase4,"100.26648321227819","0","0","0","14.865671875000004","10.840734374999998","1","0","-1","0","0","0.153125","1.011078125","12.5669375","0","Thu Apr 02 2015 01:20:00 GMT-0400 (EDT)"
tidbase4,"99.95939753957573","0","0","0","14.865230263157894","10.841134868421056","1","0","-1","0","0","0.15452302631578946","1.0045065789473684","12.555789473684213","0","Thu Apr 02 2015 01:40:00 GMT-0400 (EDT)"
tidbase4,"99.65183051649424","0","0","0","14.866250000000003","10.840859375","1","0","-1","0","0","0.15257812499999998","1.028796875","12.542953125","0","Thu Apr 02 2015 02:00:00 GMT-0400 (EDT)"
tidbase4,"99.34296817858267","0","0","0","14.865296052631576","10.841003289473685","1","0","-1","0","0","0.14860197368421055","0.9984210526315787","12.530279605263155","0","Thu Apr 02 2015 02:20:00 GMT-0400 (EDT)"
tidbase4,"99.03650370483669","0","0","0","14.865781250000001","10.840156249999998","1","0","-1","0","0","0.14835937500000002","1.0170468750000001","12.51928125","0","Thu Apr 02 2015 02:40:00 GMT-0400 (EDT)"
tidbase4,"98.72800292651276","0","0","0","14.865526315789474","10.840805921052633","1","0","-1","0","0","0.14901315789473685","1.0147368421052632","12.510460526315791","0","Thu Apr 02 2015 03:00:00 GMT-0400 (EDT)"
tidbase4,"98.42317027353167","0","0","0","14.865453124999998","10.841593749999998","1","0","-1","0","0","0.14820312500000002","1.0064687500000002","12.501281249999998","0","Thu Apr 02 2015 03:20:00 GMT-0400 (EDT)"
tidbase4,"98.1155683226627","0","0","0","14.8657072368421","10.841282894736842","1","0","-1","0","0","0.15032894736842106","1.0110361842105262","12.493157894736845","0","Thu Apr 02 2015 03:40:00 GMT-0400 (EDT)"
tidbase4,"97.80757592665871","0","0","0","14.865953124999999","10.841140625","1","0","-1","0","0","0.148671875","1.0150312499999998","12.484781250000003","0","Thu Apr 02 2015 04:00:00 GMT-0400 (EDT)"
tidbase4,"97.4987247754918","0","0","0","14.866003289473685","10.840526315789473","1","0","-1","0","0","0.14983552631578947","1.0175822368421052","12.481118421052631","0","Thu Apr 02 2015 04:20:00 GMT-0400 (EDT)"
tidbase4,"97.1873610469665","0","0","0","14.866140624999996","10.84028125","1","0","-1","0","0","0.15046874999999998","1.03284375","12.478421875","0","Thu Apr 02 2015 04:40:00 GMT-0400 (EDT)"
tidbase4,"96.8756367963679","0","0","0","14.866249999999997","10.840773026315789","1","0","-1","0","0","0.1521381578947368","1.029720394736842","12.473815789473687","0","Thu Apr 02 2015 05:00:00 GMT-0400 (EDT)"
tidbase4,"96.56545836184958","0","0","0","14.865703124999996","10.841390624999999","1","0","-1","0","0","0.15","1.0114375","12.468500000000002","0","Thu Apr 02 2015 05:20:00 GMT-0400 (EDT)"
tidbase4,"96.2566342733456","0","0","0","14.866365131578947","10.840542763157897","1","0","-1","0","0","1.0917763157894735","1.0317927631578947","12.457845394736841","0","Thu Apr 02 2015 05:40:00 GMT-0400 (EDT)"
tidbase4,"95.9427990251085","0","0","0.575","14.865593749999999","10.840749999999998","1","0.002515625","-0.9671875","0","0","12.062625","1.026578125","12.460234374999999","0","Thu Apr 02 2015 06:00:00 GMT-0400 (EDT)"
tidbase4,"95.63860817722266","0","0","1","14.848898026315789","10.850213815789473","1","0.07093749999999999","0","0","0","15.495690789473683","1.0225164473684212","12.457335526315788","0","Thu Apr 02 2015 06:20:00 GMT-0400 (EDT)"
tidbase4,"95.42014543168308","0","0","1","14.835796875","10.855515624999999","1","0.50346875","0.6828125","0","0","15.478671875000007","1.0267812500000002","12.4936875","0","Thu Apr 02 2015 06:40:00 GMT-0400 (EDT)"
tidbase4,"95.2588495796028","0","0","1","14.804786184210526","10.87060855263158","1","0.4323026315789473","2.3536184210526314","0","0","18.12324013157895","1.0222861842105264","12.487138157894735","0","Thu Apr 02 2015 07:00:00 GMT-0400 (EDT)"
tidbase4,"95.10208088371398","0","0","1","14.788374999999998","10.879312500000001","1","0.664671875","3.2921875","0","0","18.5609375","1.022828125","12.51278125","0","Thu Apr 02 2015 07:20:00 GMT-0400 (EDT)"
tidbase4,"95.11324645136501","0","0","1","14.769144736842104","10.889934210526315","1","1.6883881578947368","4.384868421052632","0","0","15.747253289473687","1.0146546052631578","12.686924342105263","0","Thu Apr 02 2015 07:40:00 GMT-0400 (EDT)"
tidbase4,"95.4672065530437","0","0","1","14.707859375000002","10.91934375","1","1.9646093749999995","7.709375","0","0","18.85859375","0.9995468750000001","12.954359375","0","Thu Apr 02 2015 08:00:00 GMT-0400 (EDT)"
tidbase4,"96.04145065588492","0","0","1","14.668470394736843","10.939062500000002","1","4.332171052631578","9.87828947368421","0","0","18.97800986842105","0.9703289473684213","13.437253289473686","0","Thu Apr 02 2015 08:20:00 GMT-0400 (EDT)"
tidbase4,"96.78736148797836","0","0","1","14.618859374999996","10.964906250000002","1","2.602296875","12.6546875","0","0","18.786875000000002","0.9761562499999998","13.294203125000001","0","Thu Apr 02 2015 08:40:00 GMT-0400 (EDT)"
tidbase4,"97.22692292779375","0","0","1","14.600526315789471","10.974424342105262","1","1.9014967105263156","13.674342105263158","0","0","19.04297697368421","0.9852960526315788","13.144720394736842","0","Thu Apr 02 2015 09:00:00 GMT-0400 (EDT)"
tidbase4,"97.58007384503725","0","0","1","14.59421875","10.977875","1","2.698296875","14.003125","0","0","19.217578125000003","0.9886875000000002","13.239578124999998","0","Thu Apr 02 2015 09:20:00 GMT-0400 (EDT)"
tidbase4,"98.16056277906041","0","0","1","14.577927631578946","10.986611842105262","1","3.3005098684210528","14.96546052631579","0","0","19.065921052631577","0.9694736842105264","13.390296052631578","0","Thu Apr 02 2015 09:40:00 GMT-0400 (EDT)"
