"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Light Rain,0,0,1,0,0,0,9.4,8.0,2014/11/06 10:36:00,2014,11,06,10,36,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,9.7,2014/11/06 10:52:00,2014,11,06,10,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,9.7,2014/11/06 11:52:00,2014,11,06,11,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,9.7,2014/11/06 12:29:00,2014,11,06,12,29,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,14.5,2014/11/06 12:44:00,2014,11,06,12,44,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,12.9,2014/11/06 12:52:00,2014,11,06,12,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,14.5,2014/11/06 13:00:00,2014,11,06,13,00,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,16.1,2014/11/06 13:10:00,2014,11,06,13,10,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,8.0,2014/11/06 13:52:00,2014,11,06,13,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,12.9,2014/11/06 14:04:00,2014,11,06,14,04,00,America/New_York
Rain,0,0,1,0,0,0,9.4,3.2,2014/11/06 14:41:00,2014,11,06,14,41,00,America/New_York
Rain,0,0,1,0,0,0,9.0,2.4,2014/11/06 14:48:00,2014,11,06,14,48,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,2.4,2014/11/06 14:52:00,2014,11,06,14,52,00,America/New_York
Rain,0,0,1,0,0,0,8.9,2.8,2014/11/06 15:09:00,2014,11,06,15,09,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,4.8,2014/11/06 15:15:00,2014,11,06,15,15,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,6.4,2014/11/06 15:52:00,2014,11,06,15,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,12.9,2014/11/06 16:09:00,2014,11,06,16,09,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,12.9,2014/11/06 16:20:00,2014,11,06,16,20,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/06 16:52:00,2014,11,06,16,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,14.5,2014/11/06 17:52:00,2014,11,06,17,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,12.9,2014/11/06 18:52:00,2014,11,06,18,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,6.4,2014/11/06 19:52:00,2014,11,06,19,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,3.2,2014/11/06 20:52:00,2014,11,06,20,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,2.4,2014/11/06 21:00:00,2014,11,06,21,00,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,3.2,2014/11/06 21:06:00,2014,11,06,21,06,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,2.4,2014/11/06 21:12:00,2014,11,06,21,12,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,2.8,2014/11/06 21:31:00,2014,11,06,21,31,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,2.8,2014/11/06 21:52:00,2014,11,06,21,52,00,America/New_York
Mist,0,0,0,0,0,0,10.0,1.2,2014/11/06 22:35:00,2014,11,06,22,35,00,America/New_York
Fog,1,0,0,0,0,0,10.0,0.8,2014/11/06 22:52:00,2014,11,06,22,52,00,America/New_York
Fog,1,0,0,0,0,0,9.4,0.4,2014/11/06 23:28:00,2014,11,06,23,28,00,America/New_York
Fog,1,0,0,0,0,0,9.4,0.4,2014/11/06 23:52:00,2014,11,06,23,52,00,America/New_York
Fog,1,0,0,0,0,0,9.4,0.8,2014/11/07 00:02:00,2014,11,07,00,02,00,America/New_York
Fog,1,0,0,0,0,0,9.4,0.8,2014/11/07 00:52:00,2014,11,07,00,52,00,America/New_York
Fog,1,0,0,0,0,0,9.4,0.8,2014/11/07 01:52:00,2014,11,07,01,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,2.4,2014/11/07 02:19:00,2014,11,07,02,19,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,2.8,2014/11/07 02:52:00,2014,11,07,02,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,4.0,2014/11/07 03:22:00,2014,11,07,03,22,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,4.0,2014/11/07 03:52:00,2014,11,07,03,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,6.4,2014/11/07 04:01:00,2014,11,07,04,01,00,America/New_York
Overcast,0,0,0,0,0,0,8.3,16.1,2014/11/07 04:52:00,2014,11,07,04,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,14.5,2014/11/07 05:52:00,2014,11,07,05,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,14.5,2014/11/07 06:03:00,2014,11,07,06,03,00,America/New_York
Overcast,0,0,0,0,0,0,7.0,16.1,2014/11/07 06:49:00,2014,11,07,06,49,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 06:52:00,2014,11,07,06,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 07:13:00,2014,11,07,07,13,00,America/New_York
