"did", "sht_temperature", "bmp_temperature", "illuminance", "bmp_pressure", "sht_humidity", "battery_voltage", "charge_flags_charge", "charge_flags_fault", "solar_voltage", "wind_direction", "wind_speed", "date"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Apr 27 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Apr 28 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Apr 29 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Apr 30 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu May 01 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri May 02 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat May 03 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun May 04 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon May 05 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue May 06 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed May 07 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu May 08 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri May 09 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat May 10 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun May 11 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon May 12 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue May 13 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed May 14 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu May 15 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri May 16 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat May 17 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun May 18 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon May 19 2014 00:00:00 GMT-0400 (EDT)"
